policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,near_causal,0.3,6,0.3333333333333333,0.3541666666666667,-0.02083333333333337,0.3229166666666667,2,0.33333333333333337,0.32557102015290174
d_tgt,near_causal,0.3,7,0.3993055555555556,0.3888888888888889,0.010416666666666685,0.3125,1,0.3993055555555556,0.39084814686974156
d_tgt,near_causal,0.3,8,0.5520833333333334,0.5451388888888888,0.006944444444444531,0.5520833333333334,1,0.5520833333333334,0.49586316043394363
d_tgt,near_causal,0.3,9,0.4409722222222222,0.4201388888888889,0.020833333333333315,0.3020833333333333,0,0.4409722222222222,0.44870364243233907
d_tgt,near_causal,0.4,1,0.5520833333333334,0.5520833333333334,0.0,0.5,1,0.5520833333333333,0.5229848249148483
d_tgt,near_causal,0.4,2,0.22916666666666666,0.21875,0.010416666666666657,0.28125,1,0.22916666666666666,0.21162279436720113
d_tgt,near_causal,0.4,3,0.6284722222222222,0.6527777777777778,-0.02430555555555558,0.6145833333333334,3,0.6284722222222223,0.6256328113627384
d_tgt,near_causal,0.4,4,0.3819444444444444,0.3854166666666667,-0.0034722222222222654,0.4166666666666667,2,0.3819444444444444,0.3406005980145019
d_tgt,near_causal,0.4,5,0.3020833333333333,0.3298611111111111,-0.02777777777777779,0.3333333333333333,3,0.3020833333333333,0.29790940675977173
d_tgt,near_causal,0.4,6,0.3368055555555556,0.3541666666666667,-0.017361111111111105,0.3229166666666667,2,0.3368055555555556,0.33145128552396885
d_tgt,near_causal,0.4,7,0.4027777777777778,0.3888888888888889,0.013888888888888895,0.3125,1,0.4027777777777778,0.3932552607469286
d_tgt,near_causal,0.4,8,0.5555555555555556,0.5451388888888888,0.01041666666666674,0.5625,1,0.5555555555555556,0.49894292217360225
d_tgt,near_causal,0.4,9,0.4375,0.4201388888888889,0.017361111111111105,0.3020833333333333,1,0.4375,0.4473141426784853
